time,live_nodes,live_percentage,total_transmissions,node_1_energy,node_1_alive,node_1_type,node_2_energy,node_2_alive,node_2_type,node_3_energy,node_3_alive,node_3_type,node_4_energy,node_4_alive,node_4_type,node_5_energy,node_5_alive,node_5_type,node_6_energy,node_6_alive,node_6_type,node_7_energy,node_7_alive,node_7_type,node_8_energy,node_8_alive,node_8_type,node_9_energy,node_9_alive,node_9_type,node_10_energy,node_10_alive,node_10_type
48,10,100.0,0,96.96086876849998,1,CLUSTER_HEAD,96.53345296014666,1,REGULAR,96.56520075039988,1,CLUSTER_HEAD,96.09766893907003,1,REGULAR,96.18658497564998,1,REGULAR,95.96878796850001,1,REGULAR,97.05055376014661,1,CLUSTER_HEAD,96.63807995040003,1,REGULAR,96.65480973906999,1,CLUSTER_HEAD,96.49158497564999,1,REGULAR
49,10,100.0,0,96.90636113418664,1,CLUSTER_HEAD,96.47844595900332,1,REGULAR,96.50569111575987,1,CLUSTER_HEAD,96.03765993760004,1,REGULAR,96.12407997483331,1,REGULAR,95.90378196752,1,REGULAR,96.99854512566995,1,CLUSTER_HEAD,96.58557194909336,1,REGULAR,96.59779910426666,1,CLUSTER_HEAD,96.43407997483332,1,REGULAR
50,10,100.0,0,96.85185346651997,1,CLUSTER_HEAD,96.42343895783665,1,REGULAR,96.44618144775987,1,CLUSTER_HEAD,95.97765093610003,1,REGULAR,96.06157497399997,1,REGULAR,95.83877596652,1,REGULAR,96.94653645783661,1,CLUSTER_HEAD,96.53306394776003,1,REGULAR,96.54078843609999,1,CLUSTER_HEAD,96.376574974,1,REGULAR
51,10,100.0,0,96.79734576549997,1,CLUSTER_HEAD,96.36843195664665,1,REGULAR,96.38667174639987,1,CLUSTER_HEAD,95.91764193457003,1,REGULAR,95.99906997314997,1,REGULAR,95.77376996550001,1,REGULAR,96.89452775664662,1,CLUSTER_HEAD,96.48055594640003,1,REGULAR,96.48377773457,1,CLUSTER_HEAD,96.31906997315,1,REGULAR
52,10,100.0,0,96.74283803112664,1,CLUSTER_HEAD,96.3134249554333,1,REGULAR,96.32716201167987,1,CLUSTER_HEAD,95.85763293301002,1,REGULAR,95.9365649722833,1,REGULAR,95.70876396446,1,REGULAR,96.84251902209996,1,CLUSTER_HEAD,96.42804794501336,1,REGULAR,96.42676699967667,1,CLUSTER_HEAD,96.26156497228332,1,REGULAR
53,10,100.0,0,96.68833026339998,1,CLUSTER_HEAD,96.25841795419664,1,REGULAR,96.26765224359987,1,CLUSTER_HEAD,95.79762393142002,1,REGULAR,95.87405997139997,1,REGULAR,95.6437579634,1,REGULAR,96.79051025419663,1,CLUSTER_HEAD,96.37553994360003,1,REGULAR,96.36975623142001,1,CLUSTER_HEAD,96.20405997139999,1,REGULAR
54,10,100.0,0,96.63382246231997,1,CLUSTER_HEAD,96.20341095293665,1,REGULAR,96.20814244215987,1,CLUSTER_HEAD,95.73761492980002,1,REGULAR,95.81155497049997,1,REGULAR,95.57875196232001,1,REGULAR,96.73850145293663,1,CLUSTER_HEAD,96.32303194216003,1,REGULAR,96.31274542980002,1,CLUSTER_HEAD,96.14655497049999,1,REGULAR
55,10,100.0,0,96.57931462788663,1,CLUSTER_HEAD,96.14840395165332,1,REGULAR,96.14863260735986,1,CLUSTER_HEAD,95.67760592815002,1,REGULAR,95.7490499695833,1,REGULAR,95.51374596122001,1,REGULAR,96.68649261831996,1,CLUSTER_HEAD,96.27052394069337,1,REGULAR,96.25573459481667,1,CLUSTER_HEAD,96.08904996958333,1,REGULAR
56,10,100.0,0,96.52480676009998,1,CLUSTER_HEAD,96.09339695034666,1,REGULAR,96.08912273919987,1,CLUSTER_HEAD,95.61759692647001,1,REGULAR,95.68654496864997,1,REGULAR,95.44873996010001,1,REGULAR,96.63448375034663,1,CLUSTER_HEAD,96.21801593920003,1,REGULAR,96.19872372647,1,CLUSTER_HEAD,96.03154496865,1,REGULAR
57,10,100.0,0,96.47029885895998,1,CLUSTER_HEAD,96.03838994901666,1,REGULAR,96.02961283767986,1,CLUSTER_HEAD,95.55758792476001,1,REGULAR,95.62403996769997,1,REGULAR,95.38373395896001,1,REGULAR,96.58247484901663,1,CLUSTER_HEAD,96.16550793768003,1,REGULAR,96.14171282476,1,CLUSTER_HEAD,95.9740399677,1,REGULAR
